current_time,folder_name,task_id,agent,nr_moves,nr_products,difficulty_heuristic,nr_completed_prod,status,is_success,mode
1627490965.8921154,logger/exp-exp/1763355,0,x,0,1,28,0,PRESENTED,False,benevolence
1627490965.9177449,logger/exp-exp/1763355,1,z,0,1,23,0,PRESENTED,False,benevolence
1627490970.1284456,logger/exp-exp/1763355,0,x,0,1,28,0,ACCEPTED,False,benevolence
1627490970.1489215,logger/exp-exp/1763355,1,z,0,1,23,0,DISCARDED,False,benevolence
1627490970.1489925,logger/exp-exp/1763355,2,z,0,1,31,0,PRESENTED,False,benevolence
1627491056.359893,logger/exp-exp/1763355,0,x,239,1,28,1,DONE,True,benevolence
1627491056.360772,logger/exp-exp/1763355,3,x,239,1,24,0,PRESENTED,False,benevolence
1627491062.4087312,logger/exp-exp/1763355,3,x,246,1,24,0,DISCARDED,False,benevolence
1627491062.408881,logger/exp-exp/1763355,4,x,246,1,30,0,PRESENTED,False,benevolence
1627491062.4403784,logger/exp-exp/1763355,2,z,246,1,31,0,ACCEPTED,False,benevolence
1627491133.9509754,logger/exp-exp/1763355,2,z,435,1,31,1,DONE,True,benevolence
1627491133.951737,logger/exp-exp/1763355,5,z,435,1,34,0,PRESENTED,False,benevolence
1627491148.7096648,logger/exp-exp/1763355,4,x,436,1,30,0,ACCEPTED,False,benevolence
1627491148.7304468,logger/exp-exp/1763355,5,z,436,1,34,0,DISCARDED,False,benevolence
1627491148.743307,logger/exp-exp/1763355,6,z,436,1,24,0,PRESENTED,False,benevolence
1627491187.2197962,logger/exp-exp/1763355,4,x,536,1,30,1,DONE,True,benevolence
1627491187.2202747,logger/exp-exp/1763355,7,x,536,1,22,0,PRESENTED,False,benevolence
1627491201.7750776,logger/exp-exp/1763355,7,x,543,1,22,0,ACCEPTED,False,benevolence
1627491201.795919,logger/exp-exp/1763355,6,z,543,1,24,0,DISCARDED,False,benevolence
1627491201.7959857,logger/exp-exp/1763355,8,z,543,1,24,0,PRESENTED,False,benevolence
1627491221.5704055,logger/exp-exp/1763355,7,x,582,1,22,0,GIVEUP,False,benevolence
1627491221.570522,logger/exp-exp/1763355,9,x,582,1,24,0,PRESENTED,False,benevolence
1627491225.9857652,logger/exp-exp/1763355,9,x,584,1,24,0,DISCARDED,False,benevolence
1627491225.9859476,logger/exp-exp/1763355,10,x,584,1,27,0,PRESENTED,False,benevolence
1627491226.0164506,logger/exp-exp/1763355,8,z,584,1,24,0,ACCEPTED,False,benevolence
1627491259.2938237,logger/exp-exp/1763355,8,z,629,1,24,0,DONE,False,benevolence
1627491259.293928,logger/exp-exp/1763355,11,z,629,1,25,0,PRESENTED,False,benevolence
1627491271.716697,logger/exp-exp/1763355,10,x,635,1,27,0,DISCARDED,False,benevolence
1627491271.7169201,logger/exp-exp/1763355,12,x,635,1,14,0,PRESENTED,False,benevolence
1627491271.7477875,logger/exp-exp/1763355,11,z,635,1,25,0,ACCEPTED,False,benevolence
1627491310.3211305,logger/exp-exp/1763355,11,z,734,1,25,1,DONE,True,benevolence
1627491310.3212862,logger/exp-exp/1763355,13,z,734,1,32,0,PRESENTED,False,benevolence
1627491316.561606,logger/exp-exp/1763355,12,x,743,1,14,0,ACCEPTED,False,benevolence
1627491316.5830703,logger/exp-exp/1763355,13,z,743,1,32,0,DISCARDED,False,benevolence
1627491316.5831478,logger/exp-exp/1763355,14,z,743,1,1,0,PRESENTED,False,benevolence
1627491328.994857,logger/exp-exp/1763355,12,x,774,1,14,1,DONE,True,benevolence
1627491328.994966,logger/exp-exp/1763355,15,x,774,1,14,0,PRESENTED,False,benevolence
1627491335.2139204,logger/exp-exp/1763355,15,x,778,1,14,0,ACCEPTED,False,benevolence
1627491335.23583,logger/exp-exp/1763355,14,z,778,1,1,0,DISCARDED,False,benevolence
1627491335.2358963,logger/exp-exp/1763355,16,z,778,1,28,0,PRESENTED,False,benevolence
1627491345.349887,logger/exp-exp/1763355,15,x,796,1,14,1,DONE,True,benevolence
1627491345.3500106,logger/exp-exp/1763355,17,x,796,1,35,0,PRESENTED,False,benevolence
1627491351.583895,logger/exp-exp/1763355,17,x,801,1,35,0,DISCARDED,False,benevolence
1627491351.5841174,logger/exp-exp/1763355,18,x,801,1,26,0,PRESENTED,False,benevolence
1627491351.6284666,logger/exp-exp/1763355,16,z,801,1,28,0,ACCEPTED,False,benevolence
1627491373.1874557,logger/exp-exp/1763355,16,z,856,1,28,1,DONE,True,benevolence
1627491373.1875556,logger/exp-exp/1763355,19,z,856,1,12,0,PRESENTED,False,benevolence
1627491379.346266,logger/exp-exp/1763355,18,x,858,1,26,0,ACCEPTED,False,benevolence
1627491379.3679643,logger/exp-exp/1763355,19,z,858,1,12,0,DISCARDED,False,benevolence
1627491379.368032,logger/exp-exp/1763355,20,z,858,1,22,0,PRESENTED,False,benevolence
1627491420.2804706,logger/exp-exp/1763355,18,x,970,1,26,1,DONE,True,benevolence
1627491420.280586,logger/exp-exp/1763355,21,x,970,1,22,0,PRESENTED,False,benevolence
1627491426.0312107,logger/exp-exp/1763355,21,x,976,1,22,0,DISCARDED,False,benevolence
1627491426.0462964,logger/exp-exp/1763355,22,x,976,1,20,0,PRESENTED,False,benevolence
1627491426.0768077,logger/exp-exp/1763355,20,z,976,1,22,0,ACCEPTED,False,benevolence
1627491461.17554,logger/exp-exp/1763355,20,z,1060,1,22,0,DONE,False,benevolence
1627491461.1918225,logger/exp-exp/1763355,23,z,1060,1,35,0,PRESENTED,False,benevolence
1627491481.0034556,logger/exp-exp/1763355,22,x,1104,1,20,0,DISCARDED,False,benevolence
1627491481.0036566,logger/exp-exp/1763355,24,x,1104,1,20,0,PRESENTED,False,benevolence
1627491481.032471,logger/exp-exp/1763355,23,z,1104,1,35,0,ACCEPTED,False,benevolence
1627491493.401664,logger/exp-exp/1763355,23,z,1137,1,35,1,DONE,True,benevolence
1627491493.4017642,logger/exp-exp/1763355,25,z,1137,1,24,0,PRESENTED,False,benevolence
1627491502.4053738,logger/exp-exp/1763355,24,x,1154,1,20,0,ACCEPTED,False,benevolence
1627491502.4273064,logger/exp-exp/1763355,25,z,1154,1,24,0,DISCARDED,False,benevolence
1627491502.4274023,logger/exp-exp/1763355,26,z,1154,1,28,0,PRESENTED,False,benevolence
1627491515.8608902,logger/exp-exp/1763355,24,x,1188,1,20,0,DONE,False,benevolence
1627491515.8610067,logger/exp-exp/1763355,27,x,1188,1,12,0,PRESENTED,False,benevolence
1627491520.8513503,logger/exp-exp/1763355,27,x,1190,1,12,0,ACCEPTED,False,benevolence
1627491520.872318,logger/exp-exp/1763355,26,z,1190,1,28,0,DISCARDED,False,benevolence
1627491520.8724022,logger/exp-exp/1763355,28,z,1190,1,23,0,PRESENTED,False,benevolence
1627491533.0010943,logger/exp-exp/1763355,27,x,1219,1,12,1,DONE,True,benevolence
1627491533.0012357,logger/exp-exp/1763355,29,x,1219,1,17,0,PRESENTED,False,benevolence
1627491537.9428189,logger/exp-exp/1763355,29,x,1221,1,17,0,ACCEPTED,False,benevolence
1627491537.9632533,logger/exp-exp/1763355,28,z,1221,1,23,0,DISCARDED,False,benevolence
1627491537.963323,logger/exp-exp/1763355,30,z,1221,1,21,0,PRESENTED,False,benevolence
1627491552.6044192,logger/exp-exp/1763355,29,x,1255,1,17,1,DONE,True,benevolence
1627491552.60454,logger/exp-exp/1763355,31,x,1255,1,14,0,PRESENTED,False,benevolence
1627491558.59503,logger/exp-exp/1763355,31,x,1258,1,14,0,DISCARDED,False,benevolence
1627491558.5957723,logger/exp-exp/1763355,32,x,1258,1,18,0,PRESENTED,False,benevolence
1627491558.6267343,logger/exp-exp/1763355,30,z,1258,1,21,0,ACCEPTED,False,benevolence
1627491574.8081021,logger/exp-exp/1763355,30,z,1299,1,21,1,DONE,True,benevolence
1627491574.8082058,logger/exp-exp/1763355,33,z,1299,1,24,0,PRESENTED,False,benevolence
