current_time,folder_name,task_id,agent,nr_moves,nr_products,difficulty_heuristic,nr_completed_prod,status,is_success,mode
1627639699.5726843,logger/exp-trial/1912049,0,x,0,1,29,0,PRESENTED,False,integrity
1627639699.6033056,logger/exp-trial/1912049,1,z,0,1,26,0,PRESENTED,False,integrity
1627640037.3432543,logger/exp-trial/1912049,0,x,0,1,29,0,ACCEPTED,False,integrity
1627640037.3581982,logger/exp-trial/1912049,1,z,0,1,26,0,DISCARDED,False,integrity
1627640037.3582551,logger/exp-trial/1912049,2,z,0,1,19,0,PRESENTED,False,integrity
1627640271.4458075,logger/exp-trial/1912049,0,x,98,1,29,1,DONE,True,integrity
1627640271.445894,logger/exp-trial/1912049,3,x,98,1,20,0,PRESENTED,False,integrity
