current_time,folder_name,task_id,agent,nr_moves,nr_products,difficulty_heuristic,nr_completed_prod,status,is_success,mode
1628022163.678854,logger/exp-exp/2294550,0,x,0,1,29,0,PRESENTED,False,benevolence
1628022163.698502,logger/exp-exp/2294550,1,z,0,1,19,0,PRESENTED,False,benevolence
1628022181.8267415,logger/exp-exp/2294550,0,x,2,1,29,0,DISCARDED,False,benevolence
1628022181.8268132,logger/exp-exp/2294550,2,x,2,1,26,0,PRESENTED,False,benevolence
1628022181.848326,logger/exp-exp/2294550,1,z,2,1,19,0,ACCEPTED,False,benevolence
1628022308.1437783,logger/exp-exp/2294550,1,z,64,1,19,1,DONE,True,benevolence
1628022308.1438632,logger/exp-exp/2294550,3,z,64,1,26,0,PRESENTED,False,benevolence
1628022327.3388193,logger/exp-exp/2294550,2,x,69,1,26,0,ACCEPTED,False,benevolence
1628022327.355086,logger/exp-exp/2294550,3,z,69,1,26,0,DISCARDED,False,benevolence
1628022327.3551443,logger/exp-exp/2294550,4,z,69,1,15,0,PRESENTED,False,benevolence
1628022397.4118633,logger/exp-exp/2294550,2,x,126,1,26,1,DONE,True,benevolence
1628022397.411962,logger/exp-exp/2294550,5,x,126,1,17,0,PRESENTED,False,benevolence
1628022413.361183,logger/exp-exp/2294550,5,x,128,1,17,0,ACCEPTED,False,benevolence
1628022413.378491,logger/exp-exp/2294550,4,z,128,1,15,0,DISCARDED,False,benevolence
1628022413.3785503,logger/exp-exp/2294550,6,z,128,1,27,0,PRESENTED,False,benevolence
1628022435.9130936,logger/exp-exp/2294550,5,x,150,1,17,1,DONE,True,benevolence
1628022435.9131947,logger/exp-exp/2294550,7,x,150,1,18,0,PRESENTED,False,benevolence
1628022446.5508366,logger/exp-exp/2294550,7,x,157,1,18,0,DISCARDED,False,benevolence
1628022446.5509257,logger/exp-exp/2294550,8,x,157,1,24,0,PRESENTED,False,benevolence
1628022446.5737398,logger/exp-exp/2294550,6,z,157,1,27,0,ACCEPTED,False,benevolence
1628022522.0023267,logger/exp-exp/2294550,6,z,232,1,27,1,DONE,True,benevolence
1628022522.002406,logger/exp-exp/2294550,9,z,232,1,16,0,PRESENTED,False,benevolence
1628022532.7945971,logger/exp-exp/2294550,8,x,233,1,24,0,DISCARDED,False,benevolence
1628022532.794677,logger/exp-exp/2294550,10,x,233,1,24,0,PRESENTED,False,benevolence
1628022532.8298974,logger/exp-exp/2294550,9,z,233,1,16,0,ACCEPTED,False,benevolence
1628022574.7782195,logger/exp-exp/2294550,9,z,275,1,16,1,DONE,True,benevolence
1628022574.7783248,logger/exp-exp/2294550,11,z,275,1,30,0,PRESENTED,False,benevolence
1628022582.0832999,logger/exp-exp/2294550,10,x,280,1,24,0,ACCEPTED,False,benevolence
1628022582.1004007,logger/exp-exp/2294550,11,z,280,1,30,0,DISCARDED,False,benevolence
1628022582.1004612,logger/exp-exp/2294550,12,z,280,1,28,0,PRESENTED,False,benevolence
1628022630.5637925,logger/exp-exp/2294550,10,x,327,1,24,1,DONE,True,benevolence
1628022630.5638936,logger/exp-exp/2294550,13,x,327,1,22,0,PRESENTED,False,benevolence
1628022640.8930578,logger/exp-exp/2294550,13,x,328,1,22,0,ACCEPTED,False,benevolence
1628022640.9096832,logger/exp-exp/2294550,12,z,328,1,28,0,DISCARDED,False,benevolence
1628022640.9097497,logger/exp-exp/2294550,14,z,328,1,31,0,PRESENTED,False,benevolence
1628022684.411146,logger/exp-exp/2294550,13,x,382,1,22,1,DONE,True,benevolence
1628022684.4112473,logger/exp-exp/2294550,15,x,382,1,24,0,PRESENTED,False,benevolence
1628022694.913869,logger/exp-exp/2294550,15,x,389,1,24,0,DISCARDED,False,benevolence
1628022694.9139419,logger/exp-exp/2294550,16,x,389,1,27,0,PRESENTED,False,benevolence
1628022694.9370039,logger/exp-exp/2294550,14,z,389,1,31,0,ACCEPTED,False,benevolence
1628022760.465929,logger/exp-exp/2294550,14,z,456,1,31,1,DONE,True,benevolence
1628022760.4660063,logger/exp-exp/2294550,17,z,456,1,17,0,PRESENTED,False,benevolence
1628022772.0772433,logger/exp-exp/2294550,16,x,464,1,27,0,ACCEPTED,False,benevolence
1628022772.0944438,logger/exp-exp/2294550,17,z,464,1,17,0,DISCARDED,False,benevolence
1628022772.0945108,logger/exp-exp/2294550,18,z,464,1,26,0,PRESENTED,False,benevolence
