current_time,folder_name,task_id,agent,nr_moves,nr_products,difficulty_heuristic,nr_completed_prod,status,is_success,mode
1628199820.35831,logger/exp-trial/2471998,0,x,0,1,16,0,PRESENTED,False,integrity
1628199820.3782253,logger/exp-trial/2471998,1,z,0,1,25,0,PRESENTED,False,integrity
1628200095.4039588,logger/exp-trial/2471998,0,x,5,1,16,0,DISCARDED,False,integrity
1628200095.4040458,logger/exp-trial/2471998,2,x,5,1,27,0,PRESENTED,False,integrity
1628200095.4259093,logger/exp-trial/2471998,1,z,5,1,25,0,ACCEPTED,False,integrity
1628200193.3252661,logger/exp-trial/2471998,1,z,68,1,25,1,DONE,True,integrity
1628200193.3253663,logger/exp-trial/2471998,3,z,68,1,27,0,PRESENTED,False,integrity
