current_time,folder_name,task_id,agent,nr_moves,nr_products,difficulty_heuristic,nr_completed_prod,status,is_success,mode
1628075384.9928803,logger/exp-trial/2347778,0,x,0,1,21,0,PRESENTED,False,ability
1628075385.0146012,logger/exp-trial/2347778,1,z,0,1,27,0,PRESENTED,False,ability
1628075402.818874,logger/exp-trial/2347778,0,x,1,1,21,0,ACCEPTED,False,ability
1628075402.8350983,logger/exp-trial/2347778,1,z,1,1,27,0,DISCARDED,False,ability
1628075402.835172,logger/exp-trial/2347778,2,z,1,1,30,0,PRESENTED,False,ability
