current_time,folder_name,task_id,agent,nr_moves,nr_products,difficulty_heuristic,nr_completed_prod,status,is_success,mode
1627463849.4227479,logger/exp-exp/1736240,0,x,0,1,19,0,PRESENTED,False,normal
1627463849.448479,logger/exp-exp/1736240,1,z,0,1,34,0,PRESENTED,False,normal
1627463873.852534,logger/exp-exp/1736240,0,x,0,1,19,0,DISCARDED,False,normal
1627463873.8526294,logger/exp-exp/1736240,2,x,0,1,31,0,PRESENTED,False,normal
1627463873.8819091,logger/exp-exp/1736240,1,z,0,1,34,0,ACCEPTED,False,normal
1627464133.3200977,logger/exp-exp/1736240,1,z,32,1,34,0,DONE,False,normal
1627464133.3202093,logger/exp-exp/1736240,3,z,32,1,23,0,PRESENTED,False,normal
1627464174.2554286,logger/exp-exp/1736240,2,x,32,1,31,0,ACCEPTED,False,normal
1627464174.2763016,logger/exp-exp/1736240,3,z,32,1,23,0,DISCARDED,False,normal
1627464174.276383,logger/exp-exp/1736240,4,z,32,1,28,0,PRESENTED,False,normal
1627464217.1016152,logger/exp-exp/1736240,2,x,41,1,31,0,DONE,False,normal
1627464217.101814,logger/exp-exp/1736240,5,x,41,1,19,0,PRESENTED,False,normal
1627464325.2973516,logger/exp-exp/1736240,5,x,69,1,19,0,DISCARDED,False,normal
1627464325.2974572,logger/exp-exp/1736240,6,x,69,1,25,0,PRESENTED,False,normal
1627464325.327119,logger/exp-exp/1736240,4,z,69,1,28,0,ACCEPTED,False,normal
