current_time,folder_name,task_id,agent,nr_moves,nr_products,difficulty_heuristic,nr_completed_prod,status,is_success,mode
1626792029.6610606,logger/pilot-exp/1064418,0,x,0,1,29,0,PRESENTED,False,integrity
1626792029.702415,logger/pilot-exp/1064418,1,z,0,1,32,0,PRESENTED,False,integrity
1626792033.7600343,logger/pilot-exp/1064418,0,x,0,1,29,0,ACCEPTED,False,integrity
1626792033.8285916,logger/pilot-exp/1064418,1,z,0,1,32,0,DISCARDED,False,integrity
1626792033.8289006,logger/pilot-exp/1064418,2,z,0,1,18,0,PRESENTED,False,integrity
1626792099.5354972,logger/pilot-exp/1064418,0,x,204,1,29,0,DONE,False,integrity
1626792099.5356045,logger/pilot-exp/1064418,3,x,204,1,31,0,PRESENTED,False,integrity
1626792104.0194297,logger/pilot-exp/1064418,3,x,207,1,31,0,ACCEPTED,False,integrity
1626792104.055691,logger/pilot-exp/1064418,2,z,207,1,18,0,DISCARDED,False,integrity
1626792104.0557716,logger/pilot-exp/1064418,4,z,207,1,30,0,PRESENTED,False,integrity
1626792148.5138304,logger/pilot-exp/1064418,3,x,319,1,31,1,DONE,True,integrity
1626792148.5139294,logger/pilot-exp/1064418,5,x,319,1,23,0,PRESENTED,False,integrity
1626792152.7916577,logger/pilot-exp/1064418,5,x,320,1,23,0,ACCEPTED,False,integrity
1626792152.8143864,logger/pilot-exp/1064418,4,z,320,1,30,0,DISCARDED,False,integrity
1626792152.8267035,logger/pilot-exp/1064418,6,z,320,1,34,0,PRESENTED,False,integrity
1626792183.4677517,logger/pilot-exp/1064418,5,x,397,1,23,1,DONE,True,integrity
1626792183.4678538,logger/pilot-exp/1064418,7,x,397,1,21,0,PRESENTED,False,integrity
1626792188.9851506,logger/pilot-exp/1064418,7,x,405,1,21,0,DISCARDED,False,integrity
1626792188.98529,logger/pilot-exp/1064418,8,x,405,1,25,0,PRESENTED,False,integrity
1626792189.0191576,logger/pilot-exp/1064418,6,z,405,1,34,0,ACCEPTED,False,integrity
1626792210.6065118,logger/pilot-exp/1064418,6,z,467,1,34,1,DONE,True,integrity
1626792210.6205363,logger/pilot-exp/1064418,9,z,467,1,29,0,PRESENTED,False,integrity
1626792216.8264906,logger/pilot-exp/1064418,8,x,475,1,25,0,DISCARDED,False,integrity
1626792216.8268156,logger/pilot-exp/1064418,10,x,475,1,27,0,PRESENTED,False,integrity
1626792216.8763576,logger/pilot-exp/1064418,9,z,475,1,29,0,ACCEPTED,False,integrity
1626792239.350636,logger/pilot-exp/1064418,9,z,541,1,29,1,DONE,True,integrity
1626792239.3507466,logger/pilot-exp/1064418,11,z,541,1,32,0,PRESENTED,False,integrity
1626792243.1456325,logger/pilot-exp/1064418,10,x,543,1,27,0,DISCARDED,False,integrity
1626792243.1457512,logger/pilot-exp/1064418,12,x,543,1,24,0,PRESENTED,False,integrity
1626792243.177239,logger/pilot-exp/1064418,11,z,543,1,32,0,ACCEPTED,False,integrity
1626792264.739813,logger/pilot-exp/1064418,11,z,597,1,32,1,DONE,True,integrity
1626792264.7399218,logger/pilot-exp/1064418,13,z,597,1,25,0,PRESENTED,False,integrity
1626792268.393902,logger/pilot-exp/1064418,12,x,600,1,24,0,DISCARDED,False,integrity
1626792268.394004,logger/pilot-exp/1064418,14,x,600,1,30,0,PRESENTED,False,integrity
1626792268.4425268,logger/pilot-exp/1064418,13,z,600,1,25,0,ACCEPTED,False,integrity
1626792285.4202087,logger/pilot-exp/1064418,13,z,653,1,25,1,DONE,True,integrity
1626792285.4204342,logger/pilot-exp/1064418,15,z,653,1,27,0,PRESENTED,False,integrity
1626792290.0055199,logger/pilot-exp/1064418,14,x,657,1,30,0,ACCEPTED,False,integrity
1626792290.0285168,logger/pilot-exp/1064418,15,z,657,1,27,0,DISCARDED,False,integrity
1626792290.0286057,logger/pilot-exp/1064418,16,z,657,1,29,0,PRESENTED,False,integrity
1626792310.2958028,logger/pilot-exp/1064418,14,x,715,1,30,1,DONE,True,integrity
1626792310.2959192,logger/pilot-exp/1064418,17,x,715,1,28,0,PRESENTED,False,integrity
1626792314.013515,logger/pilot-exp/1064418,17,x,722,1,28,0,DISCARDED,False,integrity
1626792314.013613,logger/pilot-exp/1064418,18,x,722,1,14,0,PRESENTED,False,integrity
1626792314.0433664,logger/pilot-exp/1064418,16,z,722,1,29,0,ACCEPTED,False,integrity
1626792329.8819294,logger/pilot-exp/1064418,16,z,769,1,29,1,DONE,True,integrity
1626792329.8820329,logger/pilot-exp/1064418,19,z,769,1,15,0,PRESENTED,False,integrity
1626792334.8640234,logger/pilot-exp/1064418,18,x,770,1,14,0,DISCARDED,False,integrity
1626792334.8641331,logger/pilot-exp/1064418,20,x,770,1,20,0,PRESENTED,False,integrity
1626792334.8965895,logger/pilot-exp/1064418,19,z,770,1,15,0,ACCEPTED,False,integrity
1626792344.784401,logger/pilot-exp/1064418,19,z,791,1,15,1,DONE,True,integrity
1626792344.7857993,logger/pilot-exp/1064418,21,z,791,1,19,0,PRESENTED,False,integrity
1626792351.035555,logger/pilot-exp/1064418,20,x,795,1,20,0,DISCARDED,False,integrity
1626792351.0357933,logger/pilot-exp/1064418,22,x,795,1,21,0,PRESENTED,False,integrity
1626792351.0682998,logger/pilot-exp/1064418,21,z,795,1,19,0,ACCEPTED,False,integrity
1626792366.3464253,logger/pilot-exp/1064418,21,z,835,1,19,1,DONE,True,integrity
1626792366.3466475,logger/pilot-exp/1064418,23,z,835,1,29,0,PRESENTED,False,integrity
1626792371.5044937,logger/pilot-exp/1064418,22,x,841,1,21,0,DISCARDED,False,integrity
1626792371.5046062,logger/pilot-exp/1064418,24,x,841,1,12,0,PRESENTED,False,integrity
1626792371.5371766,logger/pilot-exp/1064418,23,z,841,1,29,0,ACCEPTED,False,integrity
1626792388.496271,logger/pilot-exp/1064418,23,z,889,1,29,1,DONE,True,integrity
1626792388.5123596,logger/pilot-exp/1064418,25,z,889,1,14,0,PRESENTED,False,integrity
1626792398.3719363,logger/pilot-exp/1064418,24,x,901,1,12,0,DISCARDED,False,integrity
1626792398.3721256,logger/pilot-exp/1064418,26,x,901,1,34,0,PRESENTED,False,integrity
1626792398.403156,logger/pilot-exp/1064418,25,z,901,1,14,0,ACCEPTED,False,integrity
1626792415.6603563,logger/pilot-exp/1064418,25,z,935,1,14,1,DONE,True,integrity
1626792415.6604567,logger/pilot-exp/1064418,27,z,935,1,21,0,PRESENTED,False,integrity
1626792418.4372547,logger/pilot-exp/1064418,26,x,936,1,34,0,DISCARDED,False,integrity
1626792418.4381764,logger/pilot-exp/1064418,28,x,936,1,30,0,PRESENTED,False,integrity
1626792418.4687538,logger/pilot-exp/1064418,27,z,936,1,21,0,ACCEPTED,False,integrity
1626792431.8844984,logger/pilot-exp/1064418,27,z,969,1,21,1,DONE,True,integrity
1626792431.8855543,logger/pilot-exp/1064418,29,z,969,1,34,0,PRESENTED,False,integrity
1626792438.8301444,logger/pilot-exp/1064418,28,x,986,1,30,0,DISCARDED,False,integrity
1626792438.8303459,logger/pilot-exp/1064418,30,x,986,1,21,0,PRESENTED,False,integrity
1626792438.8621454,logger/pilot-exp/1064418,29,z,986,1,34,0,ACCEPTED,False,integrity
1626792452.0800674,logger/pilot-exp/1064418,29,z,1037,1,34,1,DONE,True,integrity
1626792452.0801911,logger/pilot-exp/1064418,31,z,1037,1,25,0,PRESENTED,False,integrity
1626792454.9798157,logger/pilot-exp/1064418,30,x,1038,1,21,0,DISCARDED,False,integrity
1626792454.979914,logger/pilot-exp/1064418,32,x,1038,1,19,0,PRESENTED,False,integrity
1626792455.010775,logger/pilot-exp/1064418,31,z,1038,1,25,0,ACCEPTED,False,integrity
