current_time,folder_name,task_id,agent,nr_moves,nr_products,difficulty_heuristic,nr_completed_prod,status,is_success,mode
1627546155.3048623,logger/exp-exp/1818546,0,x,0,1,12,0,PRESENTED,False,integrity
1627546155.3240407,logger/exp-exp/1818546,1,z,0,1,26,0,PRESENTED,False,integrity
1627546158.8215613,logger/exp-exp/1818546,0,x,0,1,12,0,ACCEPTED,False,integrity
1627546158.8380816,logger/exp-exp/1818546,1,z,0,1,26,0,DISCARDED,False,integrity
1627546158.8381436,logger/exp-exp/1818546,2,z,0,1,20,0,PRESENTED,False,integrity
1627546187.2788968,logger/exp-exp/1818546,0,x,56,1,12,1,DONE,True,integrity
1627546187.2789762,logger/exp-exp/1818546,3,x,56,1,18,0,PRESENTED,False,integrity
1627546190.7589278,logger/exp-exp/1818546,3,x,56,1,18,0,DISCARDED,False,integrity
1627546190.7589936,logger/exp-exp/1818546,4,x,56,1,23,0,PRESENTED,False,integrity
1627546190.781232,logger/exp-exp/1818546,2,z,56,1,20,0,ACCEPTED,False,integrity
1627546221.4093742,logger/exp-exp/1818546,2,z,134,1,20,1,DONE,True,integrity
1627546221.4094498,logger/exp-exp/1818546,5,z,134,1,16,0,PRESENTED,False,integrity
1627546224.195536,logger/exp-exp/1818546,4,x,134,1,23,0,DISCARDED,False,integrity
1627546224.1956809,logger/exp-exp/1818546,6,x,134,1,21,0,PRESENTED,False,integrity
1627546224.2175844,logger/exp-exp/1818546,5,z,134,1,16,0,ACCEPTED,False,integrity
1627546241.3929734,logger/exp-exp/1818546,5,z,170,1,16,1,DONE,True,integrity
1627546241.3930485,logger/exp-exp/1818546,7,z,170,1,27,0,PRESENTED,False,integrity
1627546244.4596,logger/exp-exp/1818546,6,x,174,1,21,0,ACCEPTED,False,integrity
1627546244.4748483,logger/exp-exp/1818546,7,z,174,1,27,0,DISCARDED,False,integrity
1627546244.4749072,logger/exp-exp/1818546,8,z,174,1,20,0,PRESENTED,False,integrity
1627546263.364882,logger/exp-exp/1818546,6,x,225,1,21,1,DONE,True,integrity
1627546263.3649604,logger/exp-exp/1818546,9,x,225,1,18,0,PRESENTED,False,integrity
1627546266.027724,logger/exp-exp/1818546,9,x,230,1,18,0,DISCARDED,False,integrity
1627546266.0277975,logger/exp-exp/1818546,10,x,230,1,25,0,PRESENTED,False,integrity
1627546266.0499787,logger/exp-exp/1818546,8,z,230,1,20,0,ACCEPTED,False,integrity
1627546297.6268864,logger/exp-exp/1818546,8,z,319,1,20,1,DONE,True,integrity
1627546297.6269586,logger/exp-exp/1818546,11,z,319,1,26,0,PRESENTED,False,integrity
1627546301.5406854,logger/exp-exp/1818546,10,x,325,1,25,0,ACCEPTED,False,integrity
1627546301.5571513,logger/exp-exp/1818546,11,z,325,1,26,0,DISCARDED,False,integrity
1627546301.557217,logger/exp-exp/1818546,12,z,325,1,19,0,PRESENTED,False,integrity
1627546319.3340483,logger/exp-exp/1818546,10,x,381,1,25,1,DONE,True,integrity
1627546319.3341198,logger/exp-exp/1818546,13,x,381,1,28,0,PRESENTED,False,integrity
1627546324.985874,logger/exp-exp/1818546,13,x,388,1,28,0,DISCARDED,False,integrity
1627546324.9859602,logger/exp-exp/1818546,14,x,388,1,27,0,PRESENTED,False,integrity
1627546325.009286,logger/exp-exp/1818546,12,z,388,1,19,0,ACCEPTED,False,integrity
1627546337.1103027,logger/exp-exp/1818546,12,z,417,1,19,1,DONE,True,integrity
1627546337.1103826,logger/exp-exp/1818546,15,z,417,1,19,0,PRESENTED,False,integrity
1627546340.0696864,logger/exp-exp/1818546,14,x,420,1,27,0,DISCARDED,False,integrity
1627546340.0697606,logger/exp-exp/1818546,16,x,420,1,26,0,PRESENTED,False,integrity
1627546340.1454737,logger/exp-exp/1818546,15,z,420,1,19,0,ACCEPTED,False,integrity
1627546370.9668653,logger/exp-exp/1818546,15,z,498,1,19,0,DONE,False,integrity
1627546370.966941,logger/exp-exp/1818546,17,z,498,1,23,0,PRESENTED,False,integrity
1627546374.1809108,logger/exp-exp/1818546,16,x,503,1,26,0,ACCEPTED,False,integrity
1627546374.1995726,logger/exp-exp/1818546,17,z,503,1,23,0,DISCARDED,False,integrity
1627546374.199635,logger/exp-exp/1818546,18,z,503,1,20,0,PRESENTED,False,integrity
1627546393.6513746,logger/exp-exp/1818546,16,x,550,1,26,1,DONE,True,integrity
1627546393.6515183,logger/exp-exp/1818546,19,x,550,1,14,0,PRESENTED,False,integrity
1627546399.940104,logger/exp-exp/1818546,19,x,553,1,14,0,ACCEPTED,False,integrity
1627546399.9575927,logger/exp-exp/1818546,18,z,553,1,20,0,DISCARDED,False,integrity
1627546399.957684,logger/exp-exp/1818546,20,z,553,1,20,0,PRESENTED,False,integrity
1627546418.5192297,logger/exp-exp/1818546,19,x,584,1,14,1,DONE,True,integrity
1627546418.5193079,logger/exp-exp/1818546,21,x,584,1,26,0,PRESENTED,False,integrity
1627546422.6317468,logger/exp-exp/1818546,21,x,589,1,26,0,ACCEPTED,False,integrity
1627546422.7062712,logger/exp-exp/1818546,20,z,589,1,20,0,DISCARDED,False,integrity
1627546422.7163858,logger/exp-exp/1818546,22,z,589,1,17,0,PRESENTED,False,integrity
1627546437.7997806,logger/exp-exp/1818546,21,x,628,1,26,1,DONE,True,integrity
1627546437.7998686,logger/exp-exp/1818546,23,x,628,1,31,0,PRESENTED,False,integrity
1627546440.749323,logger/exp-exp/1818546,23,x,634,1,31,0,ACCEPTED,False,integrity
1627546440.7652574,logger/exp-exp/1818546,22,z,634,1,17,0,DISCARDED,False,integrity
1627546440.7653224,logger/exp-exp/1818546,24,z,634,1,14,0,PRESENTED,False,integrity
1627546458.3491488,logger/exp-exp/1818546,23,x,688,1,31,1,DONE,True,integrity
1627546458.3492203,logger/exp-exp/1818546,25,x,688,1,22,0,PRESENTED,False,integrity
1627546461.3925042,logger/exp-exp/1818546,25,x,691,1,22,0,DISCARDED,False,integrity
1627546461.3925815,logger/exp-exp/1818546,26,x,691,1,19,0,PRESENTED,False,integrity
1627546461.4150286,logger/exp-exp/1818546,24,z,691,1,14,0,ACCEPTED,False,integrity
1627546479.8462908,logger/exp-exp/1818546,24,z,731,1,14,1,DONE,True,integrity
1627546479.846366,logger/exp-exp/1818546,27,z,731,1,23,0,PRESENTED,False,integrity
1627546483.6542006,logger/exp-exp/1818546,26,x,739,1,19,0,ACCEPTED,False,integrity
1627546483.6700308,logger/exp-exp/1818546,27,z,739,1,23,0,DISCARDED,False,integrity
1627546483.6700995,logger/exp-exp/1818546,28,z,739,1,22,0,PRESENTED,False,integrity
