current_time,folder_name,task_id,agent,nr_moves,nr_products,difficulty_heuristic,nr_completed_prod,status,is_success,mode
1626879761.462068,logger/pilot-trial/1151849,0,x,0,1,19,0,PRESENTED,False,normal
1626879761.4887555,logger/pilot-trial/1151849,1,z,0,1,29,0,PRESENTED,False,normal
1626880091.948593,logger/pilot-trial/1151849,0,x,3,1,19,0,ACCEPTED,False,normal
1626880091.971964,logger/pilot-trial/1151849,1,z,3,1,29,0,DISCARDED,False,normal
1626880091.97204,logger/pilot-trial/1151849,2,z,3,1,19,0,PRESENTED,False,normal
1626880172.3253484,logger/pilot-trial/1151849,0,x,75,1,19,1,DONE,True,normal
1626880172.3255181,logger/pilot-trial/1151849,3,x,75,1,18,0,PRESENTED,False,normal
