current_time,folder_name,task_id,agent,nr_moves,nr_products,difficulty_heuristic,nr_completed_prod,status,is_success,mode
1627470849.5016336,logger/exp-exp/1743230,0,x,0,1,28,0,PRESENTED,False,normal
1627470849.5278065,logger/exp-exp/1743230,1,z,0,1,27,0,PRESENTED,False,normal
1627470916.0141783,logger/exp-exp/1743230,0,x,54,1,28,1,ACCEPTED,True,normal
1627470916.035656,logger/exp-exp/1743230,1,z,54,1,27,0,DISCARDED,False,normal
1627470916.0357382,logger/exp-exp/1743230,2,z,54,1,24,0,PRESENTED,False,normal
1627470974.9919405,logger/exp-exp/1743230,0,x,106,1,28,1,DONE,True,normal
1627470974.9920557,logger/exp-exp/1743230,3,x,106,1,25,0,PRESENTED,False,normal
1627470989.0092676,logger/exp-exp/1743230,3,x,109,1,25,0,DISCARDED,False,normal
1627470989.0093822,logger/exp-exp/1743230,4,x,109,1,17,0,PRESENTED,False,normal
1627470989.0394902,logger/exp-exp/1743230,2,z,109,1,24,0,ACCEPTED,False,normal
1627471041.615681,logger/exp-exp/1743230,2,z,152,1,24,1,DONE,True,normal
1627471041.6158946,logger/exp-exp/1743230,5,z,152,1,26,0,PRESENTED,False,normal
1627471067.6737578,logger/exp-exp/1743230,4,x,162,1,17,0,ACCEPTED,False,normal
1627471067.6948414,logger/exp-exp/1743230,5,z,162,1,26,0,DISCARDED,False,normal
1627471067.694926,logger/exp-exp/1743230,6,z,162,1,19,0,PRESENTED,False,normal
1627471143.8798966,logger/exp-exp/1743230,4,x,222,1,17,1,DONE,True,normal
1627471143.880062,logger/exp-exp/1743230,7,x,222,1,23,0,PRESENTED,False,normal
1627471152.4094532,logger/exp-exp/1743230,7,x,224,1,23,0,ACCEPTED,False,normal
1627471152.43187,logger/exp-exp/1743230,6,z,224,1,19,0,DISCARDED,False,normal
1627471152.4319394,logger/exp-exp/1743230,8,z,224,1,29,0,PRESENTED,False,normal
1627471188.5256245,logger/exp-exp/1743230,7,x,271,1,23,1,DONE,True,normal
1627471188.5257275,logger/exp-exp/1743230,9,x,271,1,34,0,PRESENTED,False,normal
1627471200.4983258,logger/exp-exp/1743230,9,x,275,1,34,0,DISCARDED,False,normal
1627471200.4984217,logger/exp-exp/1743230,10,x,275,1,21,0,PRESENTED,False,normal
1627471200.5280392,logger/exp-exp/1743230,8,z,275,1,29,0,ACCEPTED,False,normal
1627471258.6688926,logger/exp-exp/1743230,8,z,329,1,29,1,DONE,True,normal
1627471258.6690314,logger/exp-exp/1743230,11,z,329,1,22,0,PRESENTED,False,normal
1627471272.9524803,logger/exp-exp/1743230,10,x,333,1,21,0,ACCEPTED,False,normal
1627471272.9749413,logger/exp-exp/1743230,11,z,333,1,22,0,DISCARDED,False,normal
1627471272.975011,logger/exp-exp/1743230,12,z,333,1,26,0,PRESENTED,False,normal
1627471332.97805,logger/exp-exp/1743230,10,x,375,1,21,1,DONE,True,normal
1627471332.9782047,logger/exp-exp/1743230,13,x,375,1,25,0,PRESENTED,False,normal
1627471363.2416866,logger/exp-exp/1743230,13,x,401,1,25,0,DISCARDED,False,normal
1627471363.2418792,logger/exp-exp/1743230,14,x,401,1,10,0,PRESENTED,False,normal
1627471363.2749999,logger/exp-exp/1743230,12,z,401,1,26,0,ACCEPTED,False,normal
1627471389.080414,logger/exp-exp/1743230,12,z,423,1,26,1,DONE,True,normal
1627471389.0805502,logger/exp-exp/1743230,15,z,423,1,25,0,PRESENTED,False,normal
1627471407.5995631,logger/exp-exp/1743230,14,x,431,1,10,0,DISCARDED,False,normal
1627471407.5996606,logger/exp-exp/1743230,16,x,431,1,22,0,PRESENTED,False,normal
1627471407.6302197,logger/exp-exp/1743230,15,z,431,1,25,0,ACCEPTED,False,normal
1627471456.7047267,logger/exp-exp/1743230,15,z,488,1,25,1,DONE,True,normal
1627471456.7048273,logger/exp-exp/1743230,17,z,488,1,24,0,PRESENTED,False,normal
